elbow_angle,back_angle,hip_angle,knee_angle,exercise
164.0958180232247,171.0110229514377,168.16687337497484,173.93501672868092,pushup
173.05700126800377,169.48724543532236,166.9696503300154,174.49793312823348,pushup
169.8064660789167,172.71517019016943,169.72886515295198,173.6560985033525,pushup
137.71462524984125,174.80943138634208,169.66631520107995,169.43932041310285,pushup
77.87134029779043,172.97009318095022,167.44791060652204,168.6986211589467,pushup
76.20854693533536,173.15393805661466,169.85608260033615,173.32121678895274,pushup
143.70487653556555,166.12327306678338,152.97332770515135,151.7743483768863,pushup
165.26308084013112,169.27104964867272,163.5493661952217,167.4113073034061,pushup
172.22953585961602,171.2821251374738,168.79092295960203,174.7209045799789,pushup
168.2215518986473,171.20106676306398,169.8802495448544,177.0735965944679,pushup
133.23331999015275,162.87719794961723,156.47421357504493,165.88320448850862,pushup
74.71241980239249,174.14759466995008,170.81959459328087,173.09077018583093,pushup
95.09154567873992,173.37810866764931,168.93559816827943,170.95795822532617,pushup
149.48902503735053,162.42117707404412,151.0039213735719,156.16857169145715,pushup
170.1903459815479,170.5678749661494,170.10193201024344,178.94782888427568,pushup
174.9536912956039,140.09529666828607,139.73254038852977,179.24286083771358,pushup
165.3144335864191,153.1923951650865,152.78130314368985,179.1139524535049,pushup
135.0928084190291,166.21126158062208,165.364475910021,178.26109986195596,pushup
153.98939397833908,173.43282878202112,169.63238616471585,172.28233025915927,pushup
159.89278171437505,96.84952442772412,92.43922740304195,166.55531053946112,pushup
175.70158350004473,166.51571029621314,165.35955456309048,177.63692883381623,pushup
158.558606241571,169.85987887411596,163.4291405702549,165.9672502130503,pushup
110.72421586858356,175.76155315238387,179.52402478999775,170.71802537232224,pushup
117.40788604791771,178.93811272310748,176.4382580130099,170.48710214154426,pushup
158.50922348276055,178.19743681257054,171.84213952628895,166.71582977453454,pushup
173.9322376294438,172.12635810646526,167.78018697827483,170.91545355055098,pushup
173.7781319640016,169.8288443638087,163.9547384124581,167.37294986402352,pushup
136.48889837241646,179.45688175715443,173.51828171540885,165.75693050363333,pushup
174.48293219991865,155.69408494024117,155.99801377702565,179.38359670287292,pushup
175.98401914410195,157.96636748551168,157.95192711293532,179.97090221480138,pushup
141.85927742260355,166.11085071386785,165.45431706290125,178.6698749922502,pushup
94.26119927355715,174.74785764687965,173.51840247116866,177.50809109816836,pushup
106.8380527483882,177.4497568801566,175.44584650435468,175.97715024327044,pushup
163.5035746451234,163.91466744360082,159.8645494672364,171.89463185180043,pushup
179.58523877601658,153.02917045021553,151.51075409457522,176.92811478904483,pushup
179.98180062187978,154.14499557710832,153.18730017125233,178.0892105971565,pushup
163.07760004222456,160.93741945551787,159.11754593788152,176.35531896729947,pushup
82.70661641808255,160.5484484182962,157.79456165224235,174.64127614727127,pushup
79.32894431313366,174.4421979274438,170.72259545025418,172.6157521922236,pushup
150.40428242400424,169.91019520977554,166.6545081396891,173.39648315898987,pushup
171.37974153695103,161.33959087052662,158.7596396919474,174.79079539911044,pushup
177.43413316413233,158.23890494631368,158.91562781971126,178.65236103961354,pushup
179.13332979778153,159.131600664977,159.8252141168648,178.63509693029368,pushup
153.5994264966397,96.17902694348972,136.96251490956232,108.85266146055608,pushup
129.72335212976105,102.3165372722993,158.80026181728033,91.20280071382328,pushup
51.899056103504535,177.94077401118778,165.10011608172158,140.07153757558655,pushup
151.04902154204328,176.59182503539566,172.8966931731401,156.43129037605394,pushup
126.99299303822818,168.8126301942956,175.6729923247841,145.51268226817103,pushup
84.86018062901505,162.34907394520968,178.14788857017814,144.44776458501102,pushup
97.95351656984722,169.5830929535218,178.70851180916242,160.40333157436152,pushup
99.4666443875069,168.46237915817656,175.95428366879912,163.39026088647617,pushup
80.75575385999393,171.3588099808442,176.79610551543453,168.39410558029732,pushup
116.42486462265684,173.3925108455884,175.2000342468405,155.4606996376335,pushup
164.2292158742587,179.77962880495068,166.04591180010115,147.8386715779125,pushup
177.0740247733328,178.84880737640214,166.15739885296378,142.96691698092448,pushup
170.8105537281065,154.1301202550848,140.78172652622922,126.38787002787453,pushup
171.5448280686734,179.29247844452158,169.54335894867245,150.45754400498373,pushup
176.4730709633308,178.7349178592923,170.23610990734858,157.5666068517487,pushup
156.8982862675766,174.33622383927553,164.33221147117217,134.81187830516433,pushup
169.86228475141576,166.7055398960804,153.5826509238734,145.4881242960599,pushup
