elbow_angle,shoulder_angle,back_angle,hip_angle,knee_angle,label
95.08753451961405,23.6988778325028,171.76315689347953,172.4673282289771,178.32358295965236,correct
78.71142995295128,8.478666581326328,175.05296793030013,175.0156166858861,179.91161459874633,correct
74.62883457532479,5.276788382900122,173.1265863324099,173.08923508799586,179.91161459874633,correct
60.57865406029724,2.47122934306056,165.12557049288534,165.08821924847126,179.91161459874633,correct
60.57865406029724,2.47122934306056,165.12557049288534,165.08821924847126,179.91161459874633,correct
92.40527900136982,17.842996824349033,170.38879076552772,172.9393423280865,173.89201921345156,correct
117.56198245730099,28.960872760867424,177.73264514308022,178.17960511572412,178.9084313556073,correct
149.96150768346732,42.162716354538794,173.612895764022,172.92382276443107,178.33026238929136,correct
156.1672625306797,50.24239366740557,180.0,178.3573051552702,175.9206210815316,correct
166.70299258532222,48.54884537283209,177.48225175427334,176.4188225588019,177.36097628523774,correct
169.68914252611864,52.945781885888245,178.51136425873426,179.13144727046586,178.49874111335203,correct
169.68914252611864,52.945781885888245,178.51136425873426,179.13144727046586,178.49874111335203,correct
169.68914252611864,52.945781885888245,178.51136425873426,179.13144727046586,178.49874111335203,correct
147.56223191461976,45.64374571417537,175.18125774295223,175.32930115008816,179.60800382382703,correct
142.66204577333468,49.24427407789677,178.3475417886833,178.7084521402059,179.05192051794418,correct
121.61130775763502,38.48496657514029,178.57252906405589,177.27174954356454,176.6981546582145,correct
105.74744447169851,26.39084071528828,179.62123690797884,178.85874621986645,176.20824120581477,correct
81.39197966753017,8.474670956380415,173.93522118267063,173.8119801556813,179.70280695507904,correct
64.02603079567727,6.377940422666906,171.47454341459107,172.50867246963114,177.51064256548804,correct
64.02603079567727,6.377940422666906,171.47454341459107,172.50867246963114,177.51064256548804,correct
71.51062562437212,1.27952706093745,170.9311383413531,171.52338657242612,178.5553023062205,correct
130.5073166271739,43.33929614318484,169.6201537169146,168.19094420360378,176.5339389215181,correct
140.14523763419854,41.75507416535041,178.3416245050696,177.73762732049792,178.55548785873597,correct
156.93305895939883,47.47322455735747,176.79660222579554,177.60209154260195,177.9929638016437,correct
172.42473593525182,49.536627768830655,173.23367018946098,173.3689804151741,179.66220505931673,correct
171.4945875925138,50.53614551119745,175.64515497114564,176.75192747412845,177.24719997445672,correct
171.4945875925138,50.53614551119745,175.64515497114564,176.75192747412845,177.24719997445672,correct
155.55845114055907,50.48069520021939,179.29642855721136,179.65951828825612,179.11360819032043,correct
145.3524996660153,49.3870765642655,177.12573655531142,179.7423204120346,173.74950662703847,correct
128.40601237034343,47.56734630057282,173.5269204633615,173.59013885395547,179.84532179280254,correct
103.27265483234015,34.86069959232606,165.45331715472017,168.69653581488245,172.01933634029365,correct
69.94376341938232,2.4172538898798845,168.19599116269748,169.9376847702819,175.75332057198537,correct
69.94376341938232,2.4172538898798845,168.19599116269748,169.9376847702819,175.75332057198537,correct
86.02783010115905,7.622126951632878,177.5912007479206,176.25569297940586,176.67785819713262,correct
98.52516138690515,15.118420166066779,178.84890632930293,177.30900966665988,176.3632250397324,correct
140.63832926788027,43.0355036452805,178.23384882327778,178.1983877346158,179.91650725161566,correct
159.4944860484836,47.66278407898798,174.75091128857386,173.89279609079287,177.9699562849095,correct
168.7255383163844,52.404075381152715,179.84727949225567,179.22708527547985,178.4771424450605,correct
168.7255383163844,52.404075381152715,178.7442159475919,178.79522631548613,179.86685157171593,correct
168.7255383163844,52.404075381152715,178.7442159475919,178.79522631548613,179.86685157171593,correct
168.7255383163844,52.404075381152715,178.7442159475919,178.79522631548613,179.86685157171593,correct
168.7255383163844,52.404075381152715,178.7442159475919,178.79522631548613,179.86685157171593,correct
159.6098023393844,52.06610009504504,178.91438283007662,179.89104402429192,176.8355037685151,correct
148.26436672131285,46.05873372320279,175.15776493404508,173.67208014771015,176.15035248612253,correct
113.11995802916223,34.10803352510379,177.99704090439567,179.97495534638622,174.7375547928622,correct
100.17755856148221,23.65682320695518,179.55347161617928,178.55432547821073,177.30909081773484,correct
84.25263742789008,11.115442853043989,174.66216881409827,173.89615497862167,178.1298017689423,correct
70.77466690113927,4.732204379737011,179.1812229524792,178.08382033690236,177.3009222127821,correct
70.77466690113927,4.732204379737011,179.1812229524792,178.08382033690236,177.3009222127821,correct
70.77466690113927,4.732204379737011,179.1812229524792,178.08382033690236,177.3009222127821,correct
94.28428801760981,11.866851980174806,177.15918743289885,176.76882935149604,178.9900580086982,correct
127.36732202612126,35.825676748593544,177.15160064042263,177.71795797315386,178.5588832660087,correct
136.11172624797777,37.20606164689518,174.63657579657195,173.57550388797497,177.18169444748565,correct
146.7628187576258,41.0506285900628,172.91987145960067,173.57633369882257,178.26527885913774,correct
162.68487309617606,45.92165275622969,172.14140628954723,173.5281899344107,176.59081779818774,correct
167.9285438634393,47.9759848970032,172.14140628954723,170.89025670603527,176.84090445254705,correct
169.34889688494084,49.8771677359866,174.39302847224016,174.30598145454573,179.77579938357567,correct
169.34889688494084,49.8771677359866,174.39302847224016,174.30598145454573,179.77579938357567,correct
169.34889688494084,49.8771677359866,174.39302847224016,174.30598145454573,179.77579938357567,correct
169.34889688494084,49.8771677359866,174.39302847224016,174.30598145454573,179.77579938357567,correct
169.34889688494084,49.8771677359866,174.39302847224016,174.30598145454573,179.77579938357567,correct
161.34472696870628,47.28142796161142,171.5310327418332,169.36108257524742,174.48544590173435,correct
151.3582537154159,51.9714227706623,178.80753437145836,179.02251546195586,174.48544590173435,correct
135.1779999281187,48.323225825017445,179.19291746939084,178.9804990803723,179.45290822688472,correct
121.80420139039782,40.23980102732531,179.84687499198097,179.06857049746816,177.91893763922877,correct
80.28699173363276,1.4375726280525123,175.22575059904335,174.73839793374614,178.75817862201941,correct
80.28699173363276,3.5850403724771938,178.27721873889286,178.37665429891476,179.75103275723666,correct
80.28699173363276,3.5850403724771938,178.27721873889286,178.37665429891476,179.75103275723666,correct
92.34115745035257,10.091220442800115,179.54827536143583,178.02571266663676,176.2032074395438,correct
113.9736196934719,32.97804532104234,171.21288953920094,169.50946660451632,175.68881212836172,correct
124.96087913433314,37.32812764541157,175.622497924665,177.38898407209143,175.91944577723194,correct
138.77000854278296,40.93536538848976,177.27061736878025,177.77500229010008,178.73641195957472,correct
149.04846619879757,45.12356708402163,179.0479977543062,178.14890540615275,177.7602183553907,correct
153.87666392956766,45.84461230543071,175.00910153275882,175.63515029605296,178.47975255396855,correct
159.00442946985487,51.68960111074981,179.5287994208935,179.69834474921458,178.11123484120586,correct
169.16338706163887,51.51184667097875,176.01496293159408,174.6932013656445,176.60443615651724,correct
174.12945369186752,84.06062689111322,143.10055492402594,140.74817176107112,173.6998295563795,incorrect
174.12945369186752,84.06062689111322,143.10055492402594,140.74817176107112,173.6998295563795,incorrect
147.27311793310778,72.8847563987307,150.71538846976574,152.4487748733546,175.64512884599026,correct
140.4179655911836,68.98822624184598,152.15938887977913,153.46366901067978,176.6875148220195,correct
